category,lat,lon,x_m_from_SW,y_m_from_SW,depth_m,weed_m,fish_rate,n_pings,dist_from_swim_m,bearing_from_swim
bronze,51.74486062237164,-1.4340836486386952,90.0,38.0,1.276483870967742,0.016783592360108755,0.0967741935483871,31.0,37.002959812762136,171.5789794429643
bronze,51.745166928677946,-1.433443435456655,134.0,72.0,1.0270136986301368,0.0,0.0958904109589041,73.0,49.48749288458546,93.01628175451776
bronze,51.74513089264191,-1.4340254474403278,94.0,68.0,1.0278646616541351,0.04122559259751877,0.09398496240601503,266.0,11.50345085412939,125.03594537444788
bronze,51.745076838587856,-1.4339672462419606,98.0,62.0,1.0291401869158878,0.02698707537903469,0.09345794392523364,107.0,18.410026580206907,133.2063545453566
bronze,51.74513089264191,-1.4343164534321644,74.0,68.0,0.9856282051282051,0.015608740894901144,0.08974358974358974,78.0,12.472851370168952,238.03024990867678
bronze,51.74514891065993,-1.4341418498370624,86.0,70.0,0.9573448275862069,0.03748489958974727,0.0896551724137931,145.0,4.8177134022449355,162.87098126548267
bronze,51.74513089264191,-1.4342000510354298,82.0,68.0,1.0395671641791044,0.04660619897391295,0.08955223880597014,134.0,7.090484144453282,201.34717977511662
bronze,51.744896658407676,-1.434170950436246,84.0,42.0,1.163195652173913,0.004260356814308766,0.08695652173913043,46.0,32.60919619947742,181.0210123227682
bronze,51.745094856605874,-1.4333561336591039,140.0,64.0,1.3867391304347827,0.0,0.08695652173913043,23.0,56.424316213706454,100.83220963122004
bronze,51.74514891065993,-1.4343164534321644,74.0,70.0,0.9303620689655172,0.04984630473524944,0.08620689655172414,58.0,11.539321742439789,246.48524536886748
bronze,51.74487864038966,-1.434112749237879,88.0,40.0,1.1237916666666667,0.009249624234015492,0.08333333333333333,24.0,34.77250672374661,174.35739572413806
bronze,51.745076838587856,-1.4343164534321644,74.0,62.0,1.04075,0.05371526573399622,0.08333333333333333,36.0,16.456617100202312,220.01343809212983
bronze,51.74511287462389,-1.4343164534321644,74.0,66.0,1.0128958333333333,0.017559833506763788,0.08333333333333333,48.0,13.637745280254627,230.8836339584117
bronze,51.745076838587856,-1.4339381456427769,100.0,62.0,1.0461369863013699,0.0,0.0821917808219178,73.0,19.91493948544733,129.26386065670167
bronze,51.745184946695964,-1.434112749237879,88.0,74.0,1.697816326530612,0.00031854573254900295,0.08163265306122448,49.0,3.4718796634836298,100.01898970109562
bronze,51.74486062237164,-1.4341418498370624,86.0,38.0,1.3603513513513512,0.0031873705130729063,0.08108108108108109,37.0,36.63151051833217,177.7800731373631
bronze,51.74513089264191,-1.4343746546305316,70.0,68.0,0.99092,0.009712105445716268,0.08,25.0,16.006890680332535,245.63339971487596
bronze,51.745184946695964,-1.4346365600231845,52.0,74.0,0.9890000000000001,0.009781477627471384,0.08,25.0,32.58666444952338,268.9379180680504
bronze,51.745094856605874,-1.4343746546305316,70.0,64.0,1.0033725490196077,0.03801867607951956,0.0784313725490196,51.0,18.029217933833966,233.9736363491137
bronze,51.745094856605874,-1.434112749237879,88.0,64.0,1.069779220779221,0.030553040438576335,0.07792207792207792,154.0,11.141558397801473,162.12970773192
bronze,51.745094856605874,-1.4350730690109392,22.0,64.0,1.3378846153846156,0.12253528642706582,0.07692307692307693,26.0,63.47310481379632,260.38289016379304
bronze,51.74487864038966,-1.4352185720068575,12.0,40.0,1.3764615384615384,0.10712665759491982,0.07692307692307693,26.0,80.40801735460857,244.5098876807607
bronze,51.74493269444371,-1.434258252233797,78.0,46.0,0.9532307692307692,0.13754369113370152,0.07692307692307693,13.0,29.351325671034605,192.95683884022287
bronze,51.74514891065993,-1.4342000510354298,82.0,70.0,0.967679389312977,0.05034778763639445,0.07633587786259542,131.0,5.278152174384662,209.2754926608329
bronze,51.74511287462389,-1.434112749237879,88.0,66.0,1.0339787234042555,0.07254559006944598,0.07446808510638298,94.0,9.258415010402087,158.32886994796408
